song_id;title;artist;date;peak_position;chord_progression;semitone_progression
920;Hot In The City;Billy Idol;1982-09-25;23;C:maj-G:maj-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-G:maj-C:maj-G:maj-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-G:maj-F:maj-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-C:maj-A:min(11)-N;1-7-5-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-10-5-7-5-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-10-10-7-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-2
742;The Power;Snap;1990-05-26;2;F#:1/1-B:min-F#:min/4-B:min-F#:min/4-B:min-F#:1/1-B:min-F#:min/4-B:min-F#:min/4-B:min-F#:1/1-B:min-F#:min/4-B:min-F#:min/4-B:min;7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5
1178;I Want You Back;The Jacksons;1969-11-29;1;Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-F:min7-C:min-Db:maj6-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-F:min7-Ab:maj/3-Db:maj-Ab:maj-Bb:min7-Eb:7-Ab:maj-Db:maj/5-Ab:maj-Db:maj/5-Ab:maj-Eb:maj/3-F:min7-Eb:maj6-Db:maj-Bb:min7-Eb:7-N;9-5-4-3-5-7-2-5-5-5-4-3-5-7-2-5-5-7-2-10-10-9-5-2-3-5-7-2-5-5-5-4-3-5-7-2-5-5-5-4-3-5-7-2-5-5-7-2-10-10-9-5-2-3-5-7-2-5-5-7-2-10-10-9-5-2-3-5-7-2-5-5-5-7-5-7-5-7-5-7-5-4-3-5-7-2-5-5-5-4-3-5-7-2-5-5-7-2-10-10-9-5-2-3-5-7-2-5-5-7-2-10-10-9-5-2-3-5-7-9-7-1-7-9-7-1-7-9-7-1-7-9-7-1-7-9-7-1-7-9-7-1-7-9-7-1-7-9-7-1-7-7-2-10-10-9-5-2-3-5-7-2-5-5-5-7-5-7-7-2-10-10-9-5-2-3-5-7-2-5-5-5-7-5-7-7-2-10-10-9-5-2-3-5-7-2-5-5-5-7-5-7-7-2-10-10-9-5-8
1152;Love Came To Me;Dion;1963-01-19;10;G:maj-E:min-C:maj-D:maj-G:maj-E:min-C:maj-D:maj-G:maj-E:min-C:maj-D:maj-G:maj-E:min-C:maj-D:maj-C:maj-G:maj-C:maj-A:maj-D:7-G:maj-E:min-C:maj-D:maj-G:maj-E:min-C:maj-D:maj-C:maj-G:maj-C:maj-A:maj-D:7-G:maj-E:min-C:maj-D:maj-G:maj-E:min-C:maj-D:maj-N;8-9-8-2-5-9-8-2-5-9-8-2-5-9-8-2-10-7-5-9-5-5-9-8-2-5-9-8-2-10-7-5-9-5-5-9-8-2-5-9-8-2-9
925;The Best Disco In Town;The Ritchie Family;1976-10-23;17;Ab:maj-Db:maj(9)/-Ab:maj-Db:maj(9)/-Ab:maj-F:min7-Db:maj-Ab:maj/3-Bb:min7-Ab:maj/3-Db:maj-Eb:maj-Ab:maj-F:min7-Db:maj-Ab:maj/3-Bb:min7-Ab:maj/3-Db:maj-Eb:maj-Bb:min7-Eb:7-Bb:min7-Eb:7-Bb:min7-Eb:7-Bb:min7-Ab:maj/3-Db:maj-Bb:7/3-Eb:sus4(b7-Ab:maj-F:min7-Db:maj-Ab:maj/3-Bb:min7-Ab:maj/3-Db:maj-Eb:maj-Ab:maj-F:min7-Db:maj-Ab:maj/3-Bb:min7-Ab:maj/3-Db:maj-Eb:maj-Bb:min7-Eb:7-Bb:min7-Eb:7-Bb:min7-Eb:7-Bb:min7-Ab:maj/3-Db:maj-Bb:7/3-Eb:sus4(b7-Ab:maj-Db:maj(9)/-Ab:maj-Db:maj(9)/-Ab:maj-Db:maj(9)/-Ab:maj-N-Ab:maj-Db:min/5-Ab:maj-F:min7-Bb:sus4(b7-F:min7-G:min7-F:min7-G:min7-F:min7-G:min7-F:min7-G:min7-C:min7-F:sus4(b7)-Bb:maj6-Eb:maj-C:min7-F:min7-Eb:maj/5-Bb:7-F:sus4(b7)-Bb:maj6-Eb:maj-C:min7-F:sus4(b7,-Ab:maj-A:min7-D:7-G:maj7-Gb:maj-F:maj-E:maj-Eb:maj-D:maj-Db:maj-C:maj-B:maj-Bb:maj-A:maj-Ab:maj-Db:maj(9)/-Ab:maj-Db:maj(9)/-Ab:maj-Db:maj-Ab:maj/3-Bb:min-Ab:maj/3-Db:maj-Eb:maj-Ab:maj-Db:maj-Ab:maj/3-Bb:min-Ab:maj/3-Db:maj-Eb:maj-Bb:min-Eb:maj-Bb:min-Eb:maj-Bb:min-Eb:maj-N;9-5-7-5-7-9-8-7-2-10-5-2-5-9-8-7-2-10-5-2-7-5-7-5-7-5-7-10-5-9-5-5-9-8-7-2-10-5-2-5-9-8-7-2-10-5-2-7-5-7-5-7-5-7-10-5-9-5-5-5-7-5-7-5-7-3-9-5-7-9-5-7-2-10-2-10-2-10-2-5-5-5-5-9-5-10-7-7-5-5-9-5-3-1-5-5-11-11-11-11-11-11-11-11-11-11-11-5-7-5-7-5-7-2-10-5-2-5-5-7-2-10-5-2-7-5-7-5-7-5-8
1270;Lambada;Kaoma;1990-04-28;46;D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-F:maj-D:min-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-F:maj-D:min-F:maj-G:min-C:maj-D:min-G:min-C:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-F:maj-D:min-N;3-8-2-5-9-8-2-5-2-5-2-5-5-2-8-2-5-9-8-2-5-2-5-2-5-5-2-8-2-5-9-8-2-5-2-5-2-5-5-2-3-9-3-2-5-2-5-5-2-8-2-5-9-8-2-5-2-5-2-5-5-2-3-9-3-2-5-2-5-5-2-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-3-9-9
472;Sweet Music Man;Kenny Rogers;1978-01-28;44;D:maj-E:min-A:sus4-D:maj-G:maj-A:sus4-D:maj-G:maj-D:maj-A:7-D:maj-G:maj-D:maj-A:7-D:maj-G:maj-A:7-D:maj-G:maj-A:7-D:maj-G:maj-A:7-D:maj-A:maj/3-B:min-G:min/b3-D:maj/5-A:7-D:maj-G:maj-D:maj-A:7-D:maj-G:maj-D:maj-A:7-D:maj-G:maj-A:7-D:maj-G:maj-A:7-D:maj-G:maj-A:7-D:maj-A:maj/3-B:min-G:min/b3-D:maj/5-A:7-D:maj-A:7-D:maj-C:maj6-G:maj/3-A:7-D:maj-N;3-2-5-5-5-2-5-5-7-7-5-5-7-7-5-5-2-5-5-2-5-5-2-5-7-2-8-7-7-5-5-7-7-5-5-7-7-5-5-2-5-5-2-5-5-2-5-7-2-8-7-7-5-7-5-10-7-2-5-9
791;"Hungry Eyes (From ""Dirty Dancing"")";Eric Carmen;1988-03-05;4;F:1/1-Bb:maj(9)-C:sus4-F:maj(9)-Bb:maj(9)-C:sus4-F:maj(9)-Bb:maj(9)-C:sus4-F:maj(9)-Bb:maj(9)-C:sus4-F:maj(9)-A:min-D:min/5-C:maj/6-A:min-D:min7-G:maj-C:maj/3-D:min7-G:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-C:7/3-A:min-D:min/5-C:maj/6-A:min-D:min7-G:maj-C:maj/3-D:min7-G:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-D:min7-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-F:maj-Bb:maj-C:maj-N;6-5-2-5-5-2-5-5-2-5-5-2-5-4-5-10-9-5-5-5-2-5-3-2-5-5-2-5-5-2-5-5-2-5-5-2-5-7-9-5-10-9-5-5-5-2-5-3-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-2-8-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-11
140;La Grange;ZZ Top;1974-06-29;41;A:min7-C:min7-A:(b7)/b7-F:(3)-A:5-F:(3)-A:5-N;10-3-9-8-4-8-4-2
1032;Down And Out In New York City;James Brown;1973-04-07;50;Db:min7-Gb:7-Db:min7-Gb:7-Eb:min7-Gb:maj-Db:maj-Ab:maj-N-Db:min7-Gb:7-Db:min7-Gb:7-Eb:min7-Gb:maj-Db:maj-Ab:maj-Gb:maj-Db:maj-Ab:maj-Eb:min-Gb:maj-Db:maj-Ab:maj-Eb:min-Gb:maj-Db:maj-Ab:maj-Eb:min-Db:7-Ab:min7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Eb:min7-Gb:maj-Db:maj-Ab:maj-Gb:maj-Db:maj-Ab:maj-Eb:min-Gb:maj-Db:maj-Ab:maj-Eb:min-Gb:maj-Db:maj-Ab:maj-Eb:min-Db:7-Ab:min7-Eb:1/1-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-Db:min7-Gb:7-N;2-5-7-5-9-3-7-7-3-2-5-7-5-9-3-7-7-10-7-7-7-3-7-7-7-3-7-7-7-10-7-5-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-9-3-7-7-10-7-7-7-3-7-7-7-3-7-7-7-10-7-7-10-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-5
787;The Ways Of A Woman In Love;Johnny Cash;1958-09-01;24;F:7-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-F:7-Bb:maj-Eb:maj-Bb:maj-F:7-Bb:maj-F:7-Bb:maj-N;6-5-7-5-5-7-7-5-7-5-5-7-7-5-5-7-5-7-7-5-7-5-5-7-7-5-5-7-7-5-5-7-5-7-7-5-7-5-5-7-7-5-7-5-1
741;Love Is A Battlefield;Pat Benatar;1983-10-01;5;D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj/2-Bb:maj/3-D:1/1-C:maj-Bb:maj-G:min-D:min-C:maj-Bb:maj-G:min-D:min-C:maj-Bb:maj-G:min-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj/2-D:min-C:maj-Bb:maj-G:min-D:min-C:maj-Bb:maj-G:min-D:min-C:maj-Bb:maj-G:min-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj-A:min7-Bb:maj-D:min-C:maj/2-Bb:maj/3-D:1/1-C:maj/2-Bb:maj/3-D:1/1-N;3-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-10-4-10-10-9-7-10-10-9-7-10-10-9-7-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-2-10-10-9-7-10-10-9-7-10-10-9-7-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-9-1-4-10-10-4-10-10-4-9
1066;My Hometown;Bruce Springsteen;1985-12-14;6;A:maj/5-D:maj/3-A:maj/5-E:maj-A:maj/5-D:maj-A:maj/5-D:maj/3-A:maj/5-E:maj-A:maj/5-D:maj-A:maj/5-D:maj/3-A:maj/5-E:maj-A:maj/5-D:maj-A:maj/5-D:maj/3-A:maj/5-E:maj-A:maj/5-D:maj-A:maj/5-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-F#:min-A:maj-F#:min-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-A:maj-D:maj-A:maj-D:maj-A:maj-E:maj-N;10-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-9-3-9-3-5-7-5-7-7-5-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-5-5-7-5-7-7-7
1157;Easy;Commodores;1977-10-22;4;Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Gb:maj-Db:maj/3-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Gb:maj-Db:maj/3-Ab:maj-Gb:maj7-F:min7-Eb:min7-Gb:maj/2-F:min7-Gb:maj7-F:min7-Eb:min7-Gb:maj/2-F:min7-Gb:maj7-F:min7-Eb:min7-Gb:maj/2-B:maj-Gb:maj/3-Eb:min7-Db:maj-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-Db:maj/2-Ab:maj-C:min7-Bb:min7-B:min7-D:maj/2-A:maj-C#:min7-B:min7-D:maj/2-A:maj-C#:min7-B:min7-D:maj/2-A:maj-C#:min7-B:min7-D:maj/2-A:maj-C#:min7-B:min7-D:maj/2-A:maj-N;9-4-10-3-7-4-10-10-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-5-7-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-5-7-7-10-11-10-3-11-1-11-10-3-11-1-11-10-3-5-7-9-10-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-1-3-7-4-10-3-7-4-10-3-7-4-10-3-7-4-10-3-7-2
683;That Girl;Stevie Wonder;1982-01-16;4;Ab:min-Eb:7(#9)-Ab:min9-Db:min9-Ab:min7-Db:min9-Ab:min7-Db:min9-Ab:min7-Db:min9-Ab:min7-Gb:maj-Db:min7-Bb:min7-Eb:7(b13)-Ab:min9-G:maj7/2-D:maj9-G:maj9-C:maj/#4-D:maj/3-E:maj/3-Ab:min9-Db:min9-Ab:min7-Db:min9-Ab:min7-Gb:maj-Db:min7-Bb:min7-Eb:7(b13)-Ab:min9-G:maj7/2-D:maj9-G:maj9-C:maj/#4-D:maj/3-E:maj/3-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Db:min9-Bb:hdim7-Eb:7(b13,#-Db:hdim7-E:min7/5-Db:hdim7-E:min7/5-Ab:sus4(b7-Db:hdim7-E:min7/5-Db:hdim7-E:min7/5-Ab:sus4(b7-Bb:sus4(b7-A:9(13)-Ab:min9-Db:min9-Ab:min7-Db:min9-Ab:min7-Gb:maj-Db:min7-Bb:min7-Eb:7(b13)-Ab:min9-G:maj7/2-D:maj9-G:maj9-C:maj/#4-D:maj/3-E:maj/3-Ab:min9-Db:min9-Ab:min7-Db:min9-Ab:min7-Gb:maj-Db:min7-Bb:min7-Eb:7(b13)-Ab:min9-G:maj7/2-D:maj9-G:maj9-C:maj/#4-D:maj/3-E:maj/3-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-Gb:maj7/2-A:min6-Eb:min/b7-Db:maj6/5-N;9-7-5-5-7-5-7-5-7-5-7-10-7-9-5-5-11-7-5-5-2-2-4-5-7-5-7-10-7-9-5-5-11-7-5-5-2-2-11-10-5-3-6-10-5-3-4-9-5-10-3-9-3-4-5-3-9-3-4-2-11-11-5-7-5-7-10-7-9-5-5-11-7-5-5-2-2-4-5-7-5-7-10-7-9-5-5-11-7-5-5-2-2-11-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-5-3-6-10-10
1153;The Sounds Of Silence;Simon & Garfunkel;1965-12-11;1;Eb:sus2-Db:maj(9)-Eb:min(9)-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Eb:min-Gb:maj-Db:maj(9)-Eb:min(9)-Db:maj(9)-Eb:min(9)-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Eb:min-Gb:maj-Db:maj(9)-Eb:min(9)-Db:maj(9)-Eb:min(9)-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Eb:min-Gb:maj-Db:maj(9)-Eb:min(9)-Db:maj(9)-Eb:min(9)-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Eb:min-Gb:maj-Db:maj(9)-Eb:min(9)-Db:maj(9)-Eb:min(9)-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Cb:maj-Gb:maj-Eb:min-Gb:maj-Db:maj(9)-Eb:min(9)-N;4-10-2-8-7-5-7-5-7-9-3-7-2-10-2-8-7-5-7-5-7-9-3-7-2-10-2-8-7-5-7-5-7-9-3-7-2-10-2-8-7-5-7-5-7-9-3-7-2-10-2-8-7-5-7-5-7-9-3-7-2-8
251;Theme From Electric Surfboard;Brother Jack McDuff;1969-12-27;95;Bb:min7-Db:1/1-Eb:1/1-E:1/1-F:hdim7-Bb:7(b9)-Eb:min7-C:9(#11)-Cb:maj7-F:7-Gb:maj9-Cb:7(#11)-Gb:maj9-Cb:7(#11)-F:hdim7-Bb:7(#9)-F:hdim7-Bb:7(b9)-Eb:min7-C:9(#11)-Cb:maj7-F:7-Gb:maj9-Cb:7(#11)-Gb:maj9-Cb:7(#11)-F:hdim7-Bb:7(#9)-Eb:7-D:7-Db:7-C:hdim7-F:9-Bb:7-Eb:maj-Bb:sus4(b7-Eb:maj-Bb:sus4(b7-Eb:maj-Bb:sus4(b7-Eb:maj-F:hdim7-Bb:7(b9)-Eb:min7-C:9(#11)-Cb:maj7-F:7-Gb:maj9-Cb:7(#11)-Gb:maj9-Cb:7(#11)-F:hdim7-Bb:7(#9)-N;11-3-2-1-1-5-5-9-11-6-1-5-7-5-6-5-7-5-5-9-11-6-1-5-7-5-6-5-5-11-11-11-5-5-5-7-5-7-5-7-5-2-5-5-9-11-6-1-5-7-5-6-5-1
